# latitude,longitude,height above datum (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
17.84053148842271,77.08500823208976,-2149.252382073874
17.55408063510084,77.35175171250252,-2478.285868527907
17.32031134498423,77.11500325939618,-2571.095150312844
17.31937714086253,77.13115932566451,-2643.636977537504
17.32787489926234,77.1870990251131,-2780.132588423936
17.3265903356784,77.32806190537558,-2882.005407245575
17.32606986341398,77.3435590682585,-2792.529693266053
17.35168839793859,77.42153098171323,-2914.887635755297
17.35931501502347,77.49601099428305,-2776.79709240992
17.34808136451733,77.11330640082096,-2583.865018890594
17.37106453432534,77.1655082668195,-2682.419055377607
17.37286761504159,77.2015882816743,-2750.359843715168
17.37047049006549,77.31705884411593,-2694.923593943874
17.37205637227971,77.33779382096671,-2773.067246288281
17.38215933221189,77.43293735767213,-2862.808439712487
17.40409401701494,77.47502995287897,-2979.502722152502
17.41915539802156,77.1118747663776,-2640.160149529851
17.44209275746223,77.1187714412072,-2650.843540304997
17.46706341280002,77.22911818455124,-2507.242871743143
17.44010320971129,77.26808699730026,-2651.803455978343
17.46938999501821,77.38687082666374,-2914.723750829433
17.45102810026976,77.37194252451039,-2883.537472005837
17.49096831779716,77.46039440907882,-2659.777791778494
17.48330501438847,77.09891228442622,-2659.924786893409
17.47146812559416,77.11692523481742,-2680.541076248777
17.51018368302773,77.20818620904674,-2481.034502929612
17.51491097061284,77.23947765557828,-2484.158481720608
17.50178840813955,77.38691572088348,-2850.094327121157
17.52377703189318,77.45785452536178,-2884.560107002296
17.54311284709448,77.06955087181171,-2649.929009244474
17.56020454862088,77.10174763401959,-2298.02219781597
17.56644557463801,77.16174991135654,-2322.322495894752
17.57603558617295,77.2332236028904,-1983.383459333903
17.55767150443014,77.35317354432202,-2468.753126956634
17.59615084092025,77.41338388927151,-2735.556948801841
17.59936708094524,77.45296457541858,-2760.566480049643
17.58769955920844,77.0654619395288,-2457.837006181358
17.59415412090908,77.10033182136897,-2404.63312889248
17.61389435786836,77.16840191987939,-2168.504954667051
17.60678164564615,77.22633220576404,-1643.587781625315
17.64434536418861,77.3017411604927,-1949.129932787358
17.66680782630451,77.38039287599362,-2440.120472766211
17.64274473499943,77.45099628668466,-2768.968059527403
17.67742889953355,77.04644845729705,-1884.041454024024
17.68608545179782,77.10620744014109,-2184.703886397849
17.69300836318029,77.20077235095771,-2227.757897597975
17.71263853379796,77.21593625660037,-2212.596019449954
17.71294127983495,77.35777714280353,-2386.722798270369
17.69203291047463,77.33422209705233,-2165.777452136722
17.68897485787647,77.43872927448949,-2547.105966863162
17.71001848970181,77.04953298001097,-2258.344211819855
17.73036076251926,77.12229429836961,-2352.10928008282
17.7631420722416,77.1364750720265,-2367.296273666908
17.72805119993281,77.21434364202108,-2316.154332315828
17.78465059597331,77.34821132668087,-2534.112283352262
17.76271558876951,77.41130144119637,-2642.850045289058
17.76612469413146,77.43236146365265,-2688.614375967789
17.80334772294658,77.05902456227369,-2274.742675070615
17.78013527263181,77.15356956211684,-2386.170970902897
17.80682178008663,77.26612412446418,-2566.972416285043
17.81200464464315,77.28835078941427,-2544.949586834212
17.8204470143277,77.36635344131579,-2577.673134623444
17.81292913497858,77.44571998058443,-2634.286324289883
17.87600594099469,77.05127115364935,-2108.574323232841
17.89665289954857,77.08064996738722,-2071.367750520036
17.90752223448209,77.17329021874218,-1979.643664726042
17.88295121324908,77.24115837502879,-2213.511532259152
17.88537523419452,77.27887853386157,-2258.524782529607
17.88086961964593,77.35669054781087,-2288.848522799394
17.88548502551905,77.41663337999782,-2322.282337198003
17.92090955254984,77.04522240513801,-2077.426869676747
17.92793866377686,77.07807977906717,-2073.070773370427
17.91933346166477,77.17328432026464,-2011.762309820761
17.97506355993163,77.24551701538496,-2087.480114769618
17.9533766230271,77.3256785451822,-2212.605185312118
17.93474427825929,77.30611413922531,-2191.830239489428
17.97620910145562,77.40928604353473,-2407.748659307984
17.99600479494975,77.03062955488556,-2003.084398081415
17.99844561661368,77.05197150457946,-2022.404930083427
17.97889426652411,77.12641880712555,-2029.920524539494
18.00164206433977,77.21890842358316,-2058.798233615506
18.03511540547484,77.25978050244676,-2142.17668231423
18.00185704391557,77.37956547058798,-2319.842561075635
18.05341265823541,77.41824267474054,-2346.131434845711
18.02765751859559,77.01018487613675,-2016.380178430538
18.0295675831147,77.04659561142891,-2016.437594070432
18.06658825442331,77.0973253967697,-2041.468731557894
18.04981784626447,77.2376563705994,-2140.49885611935
18.05250753718645,77.25367608883319,-2145.954186700655
18.07435544627271,77.33455109239273,-2221.251010294985
18.11458306331074,77.40926693115276,-2228.264336698982
18.11860974664773,77.00112687355706,-2001.495007638902
18.12126879868523,77.05355218679206,-2001.293923380683
18.1449560668609,77.10643568395341,-1950.172262230251
18.14219658310114,77.22597881640284,-2026.058551647303
18.126019614881,77.24777621539997,-2080.134010613164
18.15274911368501,77.36295095247242,-2187.748124011634
18.12764073346234,77.40769923189248,-2219.776223418742
18.14692584479995,77.00003005184021,-1986.429102179105
18.16586140620052,77.04949265068075,-1944.459215183292
18.18860688298459,77.12062614413743,-2014.069470116577
18.19442329993262,77.15772751879953,-1980.018307986719
18.17428461453452,77.24061771439285,-2018.539693328024
18.2222868432451,77.29145343359077,-2074.299450867226
18.20423491387203,77.39525097095603,-1978.347223119071
18.23732206451174,76.98645260703061,-1875.543177835156
18.26178459757665,77.0730727781668,-2026.184406933143
18.24363966387345,77.06209852478169,-2017.405725910528
18.28981819239388,77.18952437861141,-2109.61566757242
18.29322577332211,77.24578988594483,-2117.875618129321
18.29172082998057,77.35009870362639,-2062.788237975079
18.29126460055025,77.36534527428114,-2021.668906912802
18.31115705937586,76.97591545271256,-1969.440445387999
18.29081149548995,77.07617517365075,-2023.42527735669
18.31062249549404,77.10678864808746,-2047.005740009075
18.33335967000524,77.18230016092369,-2245.824524327621
18.3396399146026,77.22016364303398,-2088.813838296335
18.34749022029186,77.29794807780432,-2023.389779548393
17.37008778261412,77.51214675058668,-2608.013367139671
17.43815932108933,77.13866705427313,-2612.57114402684
17.43179153934867,77.4940251893495,-3014.664288599729
17.46669373861403,77.13384701326805,-2528.559094676795
17.51074003030231,77.24320728435417,-2442.24809829777
17.50417849425663,77.34258206828068,-2724.604460328726
17.50334203104715,77.48227546915298,-2910.090479777316
17.56862687751001,77.23175749026669,-2094.197378776036
17.58187536793981,77.48909481493303,-2855.433036662221
17.58568592471862,77.23009469063443,-1743.799561749736
17.62501250382212,77.4634776010537,-2706.36117119616
17.67708374427216,77.2227720521672,-2101.95902119492
17.70030962809,77.45631810964736,-2564.425709354989
17.7037263249143,77.21549295896975,-2183.354890728447
17.73953669712015,77.26100215310989,-2141.103372188787
17.76115743878155,77.45243403650166,-2710.910877653156
17.82055699388364,77.44780801885381,-2706.71912849498
17.39231493638389,77.27457349440321,-2702.513954353327
17.38247101291692,77.34566994830355,-2791.16223813625
17.5669099645983,77.35252431370282,-2431.970425110694
17.63248286027073,77.12767563719284,-2324.652448006501
17.88228285410526,77.14701271947322,-2159.593583228538
17.89635321089494,77.43446267731544,-2291.68661194742
17.97232112603492,77.42331432089766,-2375.487452430138
17.99414242529848,77.04958025123641,-2030.543471722878
17.99295307267025,77.33499658822595,-2228.228296643087
18.03726604109326,77.16216069638823,-2062.22006819065
18.07752256026851,77.14101781973233,-2046.373923328562
18.11232479349756,77.28816835651388,-2164.896046962761
18.13837607353628,77.4195013554604,-2130.337418210893
18.15804128400916,77.18072765179613,-1989.970856326959
18.20186097843314,77.40946919696536,-2035.499839473118
18.24251935510925,77.08753986027702,-2006.51950748478
18.26618275962889,77.32302639617453,-2114.06696745497
18.27252602527312,77.38332243236005,-1998.716351005229
18.32455176677005,76.99548583815145,-1955.513540490495
18.32553074000289,77.01164917614858,-1970.833444194266
18.35109673423377,77.12340068759936,-2038.39205303774
18.35260983873137,77.13991359687455,-2062.078125002288
18.34479450364705,77.19230082095748,-2069.765546059145
18.35525056383751,77.27413800392819,-2045.979098746702
17.90750781467677,77.38188005046699,-2265.479281095109
18.19462072704014,77.22812363326987,-2021.308465408177
